iter	Passed	Remaining
211	2017	7499
212	2026	7487
213	2033	7469
214	2041	7452
215	2048	7435
216	2056	7421
217	2064	7404
218	2070	7385
219	2078	7369
220	2086	7355
221	2093	7338
222	2101	7321
223	2108	7305
224	2117	7292
225	2124	7277
226	2132	7260
227	2139	7244
228	2148	7232
229	2155	7216
230	2163	7201
231	2170	7183
232	2177	7167
233	2184	7149
234	2193	7142
235	2201	7128
236	2209	7113
237	2218	7102
238	2226	7089
239	2234	7076
240	2244	7068
241	2252	7055
242	2260	7041
243	2268	7027
244	2275	7012
245	2283	6999
246	2291	6985
247	2299	6972
248	2307	6958
249	2314	6943
250	2322	6929
251	2329	6913
252	2337	6902
253	2345	6887
254	2352	6873
255	2360	6858
256	2366	6843
257	2374	6828
258	2382	6816
259	2389	6802
260	2397	6788
261	2405	6776
262	2413	6764
263	2422	6753
264	2429	6738
265	2437	6726
266	2446	6716
267	2454	6704
268	2463	6693
269	2470	6680
270	2480	6672
271	2489	6662
272	2497	6650
273	2507	6644
274	2518	6639
275	2526	6627
276	2535	6617
277	2543	6606
278	2552	6596
279	2563	6590
280	2572	6582
281	2582	6574
282	2590	6563
283	2598	6550
284	2607	6540
285	2614	6527
286	2624	6520
287	2632	6508
288	2641	6499
289	2650	6488
290	2657	6475
291	2666	6465
292	2674	6454
293	2683	6443
294	2691	6431
295	2699	6419
296	2707	6407
297	2715	6396
298	2722	6383
299	2731	6372
300	2739	6361
301	2748	6352
302	2756	6341
303	2766	6333
304	2775	6325
305	2784	6314
306	2794	6308
307	2803	6299
308	2812	6290
309	2824	6286
310	2837	6287
311	2851	6287
312	2863	6285
313	2879	6290
314	2891	6288
315	2905	6289
316	2921	6295
317	2935	6294
318	2950	6297
319	2964	6300
320	2979	6302
321	2993	6302
322	3007	6303
323	3021	6303
324	3035	6303
325	3049	6304
326	3064	6306
327	3078	6306
328	3090	6302
329	3104	6304
330	3114	6294
331	3123	6284
332	3131	6272
333	3141	6264
334	3149	6252
335	3158	6240
336	3167	6231
337	3176	6221
338	3184	6209
339	3192	6197
340	3200	6184
341	3207	6171
342	3215	6159
343	3225	6151
344	3236	6145
345	3245	6134
346	3253	6122
347	3261	6110
348	3270	6100
349	3279	6090
350	3288	6080
351	3297	6071
352	3306	6059
353	3313	6047
354	3321	6035
355	3329	6023
356	3337	6011
357	3345	6000
358	3354	5990
359	3363	5979
360	3371	5967
361	3379	5956
362	3387	5944
363	3395	5932
364	3402	5919
365	3410	5907
366	3417	5895
367	3426	5884
368	3434	5872
369	3443	5863
370	3451	5851
371	3458	5838
372	3465	5825
373	3473	5814
374	3482	5803
375	3489	5791
376	3496	5778
377	3504	5767
378	3512	5754
379	3519	5742
380	3527	5731
381	3534	5718
382	3542	5706
383	3549	5693
384	3556	5681
385	3564	5670
386	3572	5658
387	3579	5646
388	3587	5635
389	3595	5624
390	3602	5611
391	3610	5599
392	3617	5587
393	3624	5575
394	3633	5564
395	3640	5553
396	3648	5542
397	3658	5533
398	3665	5521
399	3673	5510
400	3681	5499
401	3688	5487
402	3696	5476
403	3704	5465
404	3711	5452
405	3719	5442
406	3726	5429
407	3733	5417
408	3740	5405
409	3748	5393
410	3755	5381
411	3762	5369
412	3769	5357
413	3776	5345
414	3784	5334
415	3791	5322
416	3799	5311
417	3806	5300
418	3813	5288
419	3821	5276
420	3828	5264
421	3835	5253
422	3842	5241
423	3850	5230
424	3857	5218
425	3865	5208
426	3872	5197
427	3880	5185
428	3888	5175
429	3895	5164
430	3903	5153
431	3911	5143
432	3919	5132
433	3926	5120
434	3933	5109
435	3942	5100
436	3950	5089
437	3958	5079
438	3966	5068
439	3973	5057
440	3982	5048
441	3989	5036
442	3997	5025
443	4004	5014
444	4011	5002
445	4019	4992
446	4026	4980
447	4033	4969
448	4041	4959
449	4049	4949
450	4057	4939
451	4065	4928
452	4072	4917
453	4079	4906
454	4087	4896
455	4095	4885
456	4102	4874
457	4110	4863
458	4117	4852
459	4123	4841
460	4132	4831
461	4140	4821
462	4147	4810
463	4154	4799
464	4163	4790
465	4172	4781
466	4180	4771
467	4188	4761
468	4201	4756
469	4210	4747
470	4223	4743
471	4231	4733
472	4239	4723
473	4247	4713
474	4255	4702
475	4262	4692
476	4271	4683
477	4280	4674
478	4288	4664
479	4296	4654
480	4305	4645
481	4313	4635
482	4322	4626
483	4333	4619
484	4340	4608
485	4348	4599
486	4356	4589
487	4363	4578
488	4371	4568
489	4379	4557
490	4387	4547
491	4395	4538
492	4403	4528
493	4411	4518
494	4418	4507
495	4425	4497
496	4433	4487
497	4441	4477
498	4449	4467
499	4456	4456
500	4464	4446
501	4471	4436
502	4478	4425
503	4485	4414
504	4493	4404
505	4501	4394
506	4509	4384
507	4516	4374
508	4524	4364
509	4530	4353
510	4538	4342
511	4545	4332
512	4553	4322
513	4561	4312
514	4568	4302
515	4576	4293
516	4584	4282
517	4593	4274
518	4602	4265
519	4610	4255
520	4618	4245
521	4625	4235
522	4633	4226
523	4641	4216
524	4648	4205
525	4656	4195
526	4663	4186
527	4673	4177
528	4681	4168
529	4689	4158
530	4696	4148
531	4704	4138
532	4711	4127
533	4718	4117
534	4726	4108
535	4735	4099
536	4742	4089
537	4750	4079
538	4757	4068
539	4765	4059
540	4773	4049
541	4780	4039
542	4788	4029
543	4795	4019
544	4804	4011
545	4811	4000
546	4818	3990
547	4826	3980
548	4835	3971
549	4842	3961
550	4849	3952
551	4856	3941
552	4864	3931
553	4871	3921
554	4879	3912
555	4886	3902
556	4894	3892
557	4901	3882
558	4909	3872
559	4916	3862
560	4924	3853
561	4931	3843
562	4938	3833
563	4947	3824
564	4955	3815
565	4962	3805
566	4970	3795
567	4977	3785
568	4986	3777
569	4994	3767
570	5006	3761
571	5017	3754
572	5026	3746
573	5038	3739
574	5045	3729
575	5053	3719
576	5061	3710
577	5071	3702
578	5077	3692
579	5085	3682
580	5093	3672
581	5100	3663
582	5107	3653
583	5115	3643
584	5122	3634
585	5130	3624
586	5140	3616
587	5148	3607
588	5156	3598
589	5164	3589
590	5173	3580
591	5181	3571
592	5190	3562
593	5197	3552
594	5205	3543
595	5213	3533
596	5221	3524
597	5229	3515
598	5236	3505
599	5243	3495
600	5251	3486
601	5259	3477
602	5266	3467
603	5275	3458
604	5284	3450
605	5291	3440
606	5298	3430
607	5305	3420
608	5313	3411
609	5320	3401
610	5329	3392
611	5337	3383
612	5344	3374
613	5352	3364
614	5359	3355
615	5367	3345
616	5375	3336
617	5382	3327
618	5390	3317
619	5397	3308
620	5405	3298
621	5413	3289
622	5420	3280
623	5428	3271
624	5435	3261
625	5442	3251
626	5450	3242
627	5458	3233
628	5466	3224
629	5473	3214
630	5480	3204
631	5487	3195
632	5494	3185
633	5502	3176
634	5511	3167
635	5518	3158
636	5526	3149
637	5535	3140
638	5542	3131
639	5549	3121
640	5556	3111
641	5562	3102
642	5571	3093
643	5580	3084
644	5588	3075
645	5595	3066
646	5602	3056
647	5611	3048
648	5621	3040
649	5632	3032
650	5642	3024
651	5652	3017
652	5663	3009
653	5672	3000
654	5680	2992
655	5688	2983
656	5697	2974
657	5704	2965
658	5712	2955
659	5719	2946
660	5726	2936
661	5734	2927
662	5741	2918
663	5748	2909
664	5756	2899
665	5763	2890
666	5771	2881
667	5778	2872
668	5786	2862
669	5793	2853
670	5800	2844
671	5808	2834
672	5815	2825
673	5823	2816
674	5831	2807
675	5839	2798
676	5848	2790
677	5855	2781
678	5863	2771
679	5871	2762
680	5878	2753
681	5886	2744
682	5893	2735
683	5902	2726
684	5909	2717
685	5917	2708
686	5926	2699
687	5933	2690
688	5941	2681
689	5950	2673
690	5957	2664
691	5965	2655
692	5974	2646
693	5981	2637
694	5988	2628
695	5996	2619
696	6004	2610
697	6012	2601
698	6020	2592
699	6027	2583
700	6035	2574
701	6043	2565
702	6050	2556
703	6058	2547
704	6065	2538
705	6074	2529
706	6082	2520
707	6090	2511
708	6098	2502
709	6105	2493
710	6113	2484
711	6121	2476
712	6130	2467
713	6139	2459
714	6147	2450
715	6156	2442
716	6165	2433
717	6174	2425
718	6182	2416
719	6190	2407
720	6199	2398
721	6206	2389
722	6214	2380
723	6221	2371
724	6229	2362
725	6236	2353
726	6245	2345
727	6253	2336
728	6260	2327
729	6267	2318
730	6275	2309
731	6282	2300
732	6289	2291
733	6297	2282
734	6304	2273
735	6312	2264
736	6319	2255
737	6326	2245
738	6333	2236
739	6341	2228
740	6349	2219
741	6357	2210
742	6365	2201
743	6372	2192
744	6381	2184
745	6388	2175
746	6395	2166
747	6403	2157
748	6413	2149
749	6425	2141
750	6433	2133
751	6443	2125
752	6451	2116
753	6458	2107
754	6469	2099
755	6476	2090
756	6484	2081
757	6492	2072
758	6501	2064
759	6510	2055
760	6519	2047
761	6528	2039
762	6537	2030
763	6545	2021
764	6553	2013
765	6562	2004
766	6575	1997
767	6584	1989
768	6593	1980
769	6601	1971
770	6609	1963
771	6617	1954
772	6625	1945
773	6634	1937
774	6643	1928
775	6651	1920
776	6660	1911
777	6668	1902
778	6677	1894
779	6685	1885
780	6695	1877
781	6703	1868
782	6712	1860
783	6721	1851
784	6733	1844
785	6741	1835
786	6750	1827
787	6759	1818
788	6767	1809
789	6777	1801
790	6785	1792
791	6794	1784
792	6802	1775
793	6812	1767
794	6821	1758
795	6829	1750
796	6838	1741
797	6846	1733
798	6855	1724
799	6864	1716
800	6871	1707
801	6879	1698
802	6888	1689
803	6897	1681
804	6905	1672
805	6913	1663
806	6921	1655
807	6930	1646
808	6943	1639
809	6951	1630
810	6959	1621
811	6969	1613
812	6976	1604
813	6985	1596
814	6995	1587
815	7005	1579
816	7022	1573
817	7031	1564
818	7039	1555
819	7048	1547
820	7058	1538
821	7067	1530
822	7075	1521
823	7083	1512
824	7092	1504
825	7100	1495
826	7108	1486
827	7116	1478
828	7124	1469
829	7135	1461
830	7144	1452
831	7152	1444
832	7162	1435
833	7173	1427
834	7180	1418
835	7190	1410
836	7198	1401
837	7207	1393
838	7214	1384
839	7223	1375
840	7232	1367
841	7241	1358
842	7251	1350
843	7259	1341
844	7298	1338
845	7338	1335
846	7365	1330
847	7383	1323
848	7398	1315
849	7414	1308
850	7429	1300
851	7446	1293
852	7458	1285
853	7470	1277
854	7485	1269
855	7494	1260
856	7503	1251
857	7510	1243
858	7518	1234
859	7526	1225
860	7534	1216
861	7542	1207
862	7550	1198
863	7559	1189
864	7568	1181
865	7578	1172
866	7588	1164
867	7598	1155
868	7607	1146
869	7616	1138
870	7625	1129
871	7633	1120
872	7643	1111
873	7652	1103
874	7662	1094
875	7671	1085
876	7682	1077
877	7691	1068
878	7700	1059
879	7708	1051
880	7717	1042
881	7725	1033
882	7734	1024
883	7743	1016
884	7753	1007
885	7762	998
886	7769	989
887	7776	980
888	7784	971
889	7791	962
890	7799	954
891	7808	945
892	7818	936
893	7837	929
894	7857	921
895	7871	913
896	7882	905
897	7896	896
898	7911	888
899	7928	880
900	7941	872
901	7954	864
902	7964	855
903	7975	846
904	7984	838
905	7995	829
906	8003	820
907	8016	812
908	8026	803
909	8036	794
910	8054	786
911	8066	778
912	8084	770
913	8096	761
914	8106	753
915	8116	744
916	8126	735
917	8136	726
918	8146	718
919	8160	709
920	8171	700
921	8180	692
922	8190	683
923	8199	674
924	8208	665
925	8217	656
926	8226	647
927	8234	638
928	8242	629
929	8250	621
930	8257	612
931	8266	603
932	8274	594
933	8283	585
934	8291	576
935	8300	567
936	8308	558
937	8316	549
938	8324	540
939	8332	531
940	8339	522
941	8347	513
942	8354	504
943	8363	496
944	8372	487
945	8380	478
946	8388	469
947	8395	460
948	8406	451
949	8413	442
950	8420	433
951	8428	424
952	8438	416
953	8446	407
954	8455	398
955	8463	389
956	8471	380
957	8480	371
958	8488	362
959	8495	353
960	8504	345
961	8513	336
962	8520	327
963	8527	318
964	8537	309
965	8545	300
966	8553	291
967	8561	283
968	8569	274
969	8579	265
970	8587	256
971	8594	247
972	8601	238
973	8609	229
974	8616	220
975	8624	212
976	8632	203
977	8639	194
978	8646	185
979	8655	176
980	8663	167
981	8671	158
982	8678	150
983	8686	141
984	8694	132
985	8701	123
986	8708	114
987	8717	105
988	8725	97
989	8732	88
990	8740	79
991	8748	70
992	8756	61
993	8763	52
994	8771	44
995	8779	35
996	8789	26
997	8799	17
998	8812	8
999	8819	0
