iter	RMSE
123	0.3845955438
124	0.384556181
125	0.3845208537
126	0.3844631551
127	0.3844209659
128	0.3843579195
129	0.3843131015
130	0.3842260067
131	0.3841731286
132	0.3841178996
133	0.3840366855
134	0.3839597264
135	0.3839221878
136	0.3838921409
137	0.3838377243
138	0.3837748413
139	0.3837235838
140	0.3836746223
141	0.3836223731
142	0.3835873536
143	0.3835512444
144	0.3835097806
145	0.3834631112
146	0.3834322636
147	0.3833783872
148	0.3833340405
149	0.3833007541
150	0.3832437159
151	0.3831868081
152	0.3831426037
153	0.3830905813
154	0.38304893
155	0.3830021623
156	0.3829521159
157	0.3829245142
158	0.3828782639
159	0.3828235739
160	0.3827657772
161	0.3827159892
162	0.3826687534
163	0.3826180798
164	0.3825789282
165	0.3825413634
166	0.3825042334
167	0.3824475965
168	0.3823940377
169	0.3823348597
170	0.3823064641
171	0.3822489283
172	0.382214445
173	0.3821839065
174	0.3821500514
175	0.3821036562
176	0.3820520762
177	0.3820117292
178	0.3819694147
179	0.3818889461
180	0.3818356771
181	0.3817784041
182	0.381743678
183	0.3817105344
184	0.3816689108
185	0.3816296471
186	0.3815863998
187	0.3815514181
188	0.3815151896
189	0.3814717003
190	0.3814184999
191	0.3813849486
192	0.381356947
193	0.3813070194
194	0.3812757126
195	0.3812411546
196	0.381195457
197	0.3811412331
198	0.3810912079
199	0.381045664
200	0.3810034085
201	0.3809712569
202	0.3809186007
203	0.3808854683
204	0.3808509555
205	0.3808243225
206	0.3807888577
207	0.3807493337
208	0.3807178593
209	0.3806725509
210	0.3806298728
211	0.3805860877
212	0.3805391609
213	0.380513066
214	0.3804858297
215	0.3804529714
216	0.3804207204
217	0.3803975397
218	0.3803700165
219	0.3803436534
220	0.3803104497
221	0.3802855978
222	0.3802557787
223	0.3802289764
224	0.3801966964
225	0.3801748773
226	0.3801357292
227	0.3801071441
228	0.3800630538
229	0.3800405846
230	0.3800011624
231	0.3799783684
232	0.3799460078
233	0.3799225751
234	0.3798840431
235	0.3798581148
236	0.379836689
237	0.3797966326
238	0.3797719763
239	0.3797452161
240	0.379714896
241	0.3796783363
242	0.3796532788
243	0.3796125659
244	0.3795929229
245	0.3795627217
246	0.379540848
247	0.379506927
248	0.3794671634
249	0.3794353566
250	0.379409354
251	0.3793889429
252	0.3793628637
253	0.3793364141
254	0.3793089878
255	0.3792754386
256	0.3792474233
257	0.3792131373
258	0.3791818529
259	0.3791600982
260	0.379133348
261	0.3791121553
262	0.3790840829
263	0.3790591641
264	0.3790366454
265	0.3790048615
266	0.378980143
267	0.3789544051
268	0.378927994
269	0.3789011212
270	0.3788666991
271	0.3788314116
272	0.3788147885
273	0.3787867205
274	0.3787710353
275	0.3787512081
276	0.3787267772
277	0.3786931303
278	0.3786755986
279	0.3786470592
280	0.3786288044
281	0.3785951616
282	0.3785749743
283	0.3785567811
284	0.3785321936
285	0.3785154293
286	0.3785005561
287	0.3784800724
288	0.3784571147
289	0.3784247032
290	0.3784079842
291	0.3783833523
292	0.3783625344
293	0.3783452318
294	0.3783123458
295	0.3782941473
296	0.3782702296
297	0.3782530598
298	0.378232516
299	0.3782130071
300	0.3781886787
301	0.3781712409
302	0.3781571493
303	0.3781347855
304	0.3781053403
305	0.3780930308
306	0.3780716631
307	0.3780590884
308	0.3780354296
309	0.3780168289
310	0.3779766998
311	0.3779606058
312	0.3779481229
313	0.3779256959
314	0.3779118297
315	0.3778940078
316	0.3778790052
317	0.3778646111
318	0.3778396991
319	0.3778234561
320	0.3777922002
321	0.3777779562
322	0.3777577505
323	0.3777351452
324	0.3777200304
325	0.3777028257
326	0.3776761962
327	0.3776469734
328	0.3776323363
329	0.3776058693
330	0.3775657889
331	0.3775521067
332	0.3775357455
333	0.3775184303
334	0.3775029919
335	0.3774881756
336	0.3774642397
337	0.3774420234
338	0.3774228243
339	0.3774084369
340	0.3773901483
341	0.3773798267
342	0.3773498131
343	0.3773267109
344	0.3773035573
345	0.377288919
346	0.3772706708
347	0.3772487087
348	0.3772297883
349	0.3772163674
350	0.3771969093
351	0.3771826806
352	0.3771578279
353	0.3771343224
354	0.3771200893
355	0.3771087931
356	0.3770893077
357	0.3770692258
358	0.3770500272
359	0.3770354412
360	0.3770131727
361	0.3769949237
362	0.3769765634
363	0.3769654783
364	0.3769484934
365	0.3769345528
366	0.3769208461
367	0.3768988192
368	0.376889628
369	0.3768760412
370	0.3768646318
371	0.3768501053
372	0.376837914
373	0.3768133427
374	0.3767907013
375	0.3767740677
376	0.3767628803
377	0.3767501536
378	0.376738057
379	0.3767183324
380	0.3767063842
381	0.3766950125
382	0.3766756482
383	0.3766675564
384	0.3766557618
385	0.3766471971
386	0.3766329407
387	0.3766167101
388	0.376594863
389	0.3765801758
390	0.3765647534
391	0.3765431488
392	0.3765298981
393	0.3765166906
394	0.3764884708
395	0.3764762513
396	0.3764596376
397	0.3764358734
398	0.3764262967
399	0.3764085151
400	0.3763903626
401	0.3763748819
402	0.3763582291
403	0.3763419985
404	0.3763287158
405	0.3763131982
406	0.3763011752
407	0.3762926706
408	0.3762817019
409	0.3762651546
410	0.376252809
411	0.3762407579
412	0.3762297164
413	0.3762191568
414	0.3762074541
415	0.3761980714
416	0.3761833088
417	0.3761703938
418	0.3761620226
419	0.3761498933
420	0.3761405803
421	0.3761253713
422	0.3761183245
423	0.3761014908
424	0.3760918554
425	0.376077144
426	0.3760595067
427	0.3760446733
428	0.3760313761
429	0.3760135569
430	0.3760066219
431	0.3759939155
432	0.3759865641
433	0.3759733606
434	0.375958126
435	0.3759428928
436	0.3759327404
437	0.3759191616
438	0.3759009787
439	0.3758839434
440	0.3758704556
441	0.3758613859
442	0.3758514024
443	0.3758405515
444	0.3758279123
445	0.3758153345
446	0.3758032268
447	0.3757933812
448	0.3757788141
449	0.3757655855
450	0.3757519742
451	0.3757358792
452	0.3757236128
453	0.3757135592
454	0.3757031192
455	0.3756926872
456	0.3756779418
457	0.3756642284
458	0.3756571371
459	0.3756503665
460	0.375637817
461	0.3756286918
462	0.3756213859
463	0.3756142264
464	0.3756045938
465	0.3755934334
466	0.3755829037
467	0.375572521
468	0.3755569731
469	0.3755474766
470	0.3755347229
471	0.3755253676
472	0.3755132837
473	0.3755046786
474	0.3754909039
475	0.3754811204
476	0.3754690164
477	0.3754577081
478	0.3754406144
479	0.3754250017
480	0.3754105196
481	0.3753986445
482	0.375385796
483	0.3753724119
484	0.3753634536
485	0.375349607
486	0.3753423712
487	0.3753327039
488	0.3753276752
489	0.3753181206
490	0.3753087702
491	0.3752977807
492	0.3752884636
493	0.3752716868
494	0.3752634337
495	0.3752571474
496	0.3752459708
497	0.375236219
498	0.3752240259
499	0.3752153086
500	0.3752016377
501	0.3751924729
502	0.3751856046
503	0.3751791625
504	0.3751643476
505	0.3751571972
506	0.3751462915
507	0.3751415572
508	0.3751303742
509	0.3751260606
510	0.3751163045
511	0.3751055388
512	0.3750973545
513	0.3750841746
514	0.37507636
515	0.3750652968
516	0.3750565228
517	0.3750426624
518	0.3750309375
519	0.3750219263
520	0.3750077055
521	0.3750012572
522	0.374995071
523	0.3749856064
524	0.3749749255
525	0.374964045
526	0.3749553995
527	0.3749427471
528	0.3749319635
529	0.374926246
530	0.3749183092
531	0.374909893
532	0.3749015749
533	0.3748924388
534	0.3748809398
535	0.3748697596
536	0.3748561089
537	0.374845571
538	0.3748371227
539	0.3748271109
540	0.3748199044
541	0.3748095017
542	0.3748014555
543	0.3747946452
544	0.3747839785
545	0.3747762972
546	0.3747661988
547	0.3747605503
548	0.3747526943
549	0.3747489552
550	0.374742217
551	0.374735782
552	0.3747265561
553	0.3747192321
554	0.3747060287
555	0.3747003921
556	0.3746900124
557	0.3746783166
558	0.3746738536
559	0.3746646048
560	0.3746529052
561	0.3746427787
562	0.3746316531
563	0.3746249541
564	0.3746162197
565	0.3746075977
566	0.3746019878
567	0.3745931479
568	0.3745882239
569	0.3745809352
570	0.3745730468
571	0.3745576365
572	0.3745498822
573	0.3745422737
574	0.3745361597
575	0.374530319
576	0.3745220802
577	0.3745113965
578	0.3745053349
579	0.3744960083
580	0.3744904381
581	0.3744857883
582	0.374481959
583	0.3744753131
584	0.3744680391
585	0.3744596381
586	0.3744531646
587	0.3744473621
588	0.3744420954
589	0.3744343609
590	0.3744188604
591	0.3744076089
592	0.3744004984
593	0.3743971502
594	0.3743916363
595	0.3743837111
596	0.3743776587
597	0.3743705335
598	0.3743633929
599	0.3743537219
600	0.374345181
601	0.3743394037
602	0.374331345
603	0.3743195576
604	0.3743106508
605	0.3743031734
606	0.37429916
607	0.374292314
608	0.3742836684
609	0.3742737404
610	0.3742609042
611	0.3742530765
612	0.3742469992
613	0.3742404399
614	0.3742341762
615	0.3742226949
616	0.374216628
617	0.3742124866
618	0.3742019684
619	0.374197059
620	0.3741910831
621	0.3741860348
622	0.37417828
623	0.3741732683
624	0.3741676981
625	0.3741612167
626	0.3741514168
627	0.3741449138
628	0.3741403051
629	0.3741329704
630	0.3741281513
631	0.3741229439
632	0.3741172612
633	0.3741073291
634	0.3741014206
635	0.3740961349
636	0.3740911284
637	0.3740844178
638	0.3740782138
639	0.3740708123
640	0.3740654599
641	0.3740608217
642	0.3740522761
643	0.3740454821
644	0.3740371381
645	0.3740319679
646	0.3740264689
647	0.3740178413
648	0.3740112433
649	0.3740057142
650	0.3739987986
651	0.3739902217
652	0.3739846836
653	0.3739785007
654	0.3739738154
655	0.3739687421
656	0.3739637464
657	0.3739581612
658	0.373952333
659	0.3739432908
660	0.3739393438
661	0.3739303492
662	0.373923766
663	0.373919196
664	0.3739132871
665	0.3739069777
666	0.3738987376
667	0.3738950222
668	0.373888795
669	0.3738815048
670	0.3738789617
671	0.3738721554
672	0.3738666224
673	0.3738612374
674	0.373854018
675	0.3738492737
676	0.37384211
677	0.3738363698
678	0.3738287695
679	0.3738228359
680	0.3738184025
681	0.3738117153
682	0.3737995651
683	0.3737949259
684	0.3737910368
685	0.3737847103
686	0.3737764837
687	0.3737731942
688	0.3737690271
689	0.3737637187
690	0.373755612
691	0.3737504235
692	0.3737446061
693	0.3737376076
694	0.3737309909
695	0.373726027
696	0.3737224974
697	0.3737174447
698	0.3737120839
699	0.3737000077
700	0.3736953998
701	0.3736901738
702	0.3736831795
703	0.3736788505
704	0.3736749867
705	0.3736711744
706	0.3736669396
707	0.37366159
708	0.3736551159
709	0.3736519069
710	0.3736483939
711	0.3736442644
712	0.3736375197
713	0.373631472
714	0.3736212146
715	0.3736113726
716	0.3736051153
717	0.3735992547
718	0.3735917665
719	0.3735886722
720	0.3735797948
721	0.3735733777
722	0.3735650498
723	0.3735558719
724	0.37355077
725	0.3735438495
726	0.3735355553
727	0.3735306808
728	0.3735231843
729	0.3735182156
730	0.3735120558
731	0.3735060857
732	0.3735007707
733	0.3734976113
734	0.3734895748
735	0.3734854668
736	0.3734831274
737	0.3734791612
738	0.3734728337
739	0.3734651433
740	0.3734595173
741	0.3734523895
742	0.3734450483
743	0.3734409521
744	0.3734369196
745	0.3734313186
746	0.3734280263
747	0.3734231853
748	0.3734160181
749	0.3734104857
750	0.3734069568
751	0.3733989637
752	0.3733917983
753	0.3733872392
754	0.3733841306
755	0.3733790865
756	0.3733707485
757	0.3733629325
758	0.3733583104
759	0.3733514499
760	0.373346751
761	0.3733404064
762	0.3733360386
763	0.3733329702
764	0.3733273861
765	0.3733230793
766	0.3733198728
767	0.3733135735
768	0.3733078623
769	0.3733040708
770	0.3732990446
771	0.3732920583
772	0.3732889798
773	0.3732865259
774	0.3732790319
775	0.3732724137
776	0.3732665597
777	0.3732626162
778	0.3732509679
779	0.3732452251
780	0.3732358103
781	0.3732315015
782	0.3732260853
783	0.3732207392
784	0.3732152657
785	0.373210338
786	0.3732036668
787	0.3731984019
788	0.3731925397
789	0.3731880554
790	0.3731816152
791	0.3731764931
792	0.3731709341
793	0.3731671483
794	0.3731624872
795	0.3731582919
796	0.373152968
797	0.3731469243
798	0.373144148
799	0.3731378793
800	0.3731362854
801	0.3731297316
802	0.3731258914
803	0.3731208467
804	0.3731177295
805	0.3731136625
806	0.373109989
807	0.3731023301
808	0.3730983896
809	0.3730962019
810	0.3730928128
811	0.3730863134
812	0.373081984
813	0.3730775023
814	0.3730724305
815	0.3730660944
816	0.3730618938
817	0.3730580504
818	0.3730513763
819	0.373044159
820	0.3730398764
821	0.3730354135
822	0.3730309
823	0.3730243599
824	0.3730210341
825	0.373017643
826	0.3730129949
827	0.3730083734
828	0.373004256
829	0.3729979467
830	0.3729927788
831	0.3729880624
832	0.3729845329
833	0.3729765555
834	0.3729718446
835	0.3729656654
836	0.37296264
837	0.3729583063
838	0.3729560131
839	0.3729514988
840	0.372949034
841	0.3729464375
842	0.372941307
843	0.3729377938
844	0.3729348685
845	0.3729278924
846	0.3729212289
847	0.3729171565
848	0.372912442
849	0.3729093747
850	0.3729052412
851	0.3728984111
852	0.372894969
853	0.3728915593
854	0.372884574
855	0.3728793515
856	0.372874059
857	0.3728696759
858	0.3728652985
859	0.3728611521
860	0.3728582641
861	0.3728534345
862	0.3728500031
863	0.3728465359
864	0.3728436784
865	0.3728382136
866	0.3728339888
867	0.3728296936
868	0.3728241055
869	0.3728213221
870	0.3728178964
871	0.3728148668
872	0.3728123251
873	0.3728084319
874	0.3728020526
875	0.3727990683
876	0.3727926888
877	0.3727897198
878	0.3727870499
879	0.3727824117
880	0.3727762802
881	0.3727742851
882	0.3727707767
883	0.372766208
884	0.3727605272
885	0.3727571249
886	0.3727520492
887	0.3727501405
888	0.3727472931
889	0.3727444299
890	0.3727381281
891	0.372735343
892	0.3727301418
893	0.3727263309
894	0.3727234591
895	0.3727204614
896	0.3727154993
897	0.3727114425
898	0.3727035128
899	0.3727006172
900	0.3726986817
901	0.3726948908
902	0.372690564
903	0.372686962
904	0.3726851719
905	0.3726827956
906	0.3726801839
907	0.3726764873
908	0.3726710283
909	0.3726663535
910	0.3726626168
911	0.3726596369
912	0.3726560336
913	0.3726531404
914	0.3726506254
915	0.372648614
916	0.3726426151
917	0.3726358835
918	0.3726327236
919	0.3726278656
920	0.3726234429
921	0.3726194546
922	0.3726164909
923	0.3726135332
924	0.3726090168
925	0.3726058061
926	0.372601893
927	0.3725978576
928	0.3725939555
929	0.3725910164
930	0.3725874143
931	0.372584656
932	0.3725817045
933	0.3725785112
934	0.3725731091
935	0.3725680511
936	0.3725635154
937	0.3725602567
938	0.3725579355
939	0.3725548784
940	0.3725526571
941	0.3725496991
942	0.3725465617
943	0.3725435598
944	0.372539866
945	0.3725349611
946	0.3725303995
947	0.3725268374
948	0.3725245802
949	0.3725221822
950	0.3725187351
951	0.3725143465
952	0.3725116558
953	0.3725077917
954	0.3725046024
955	0.3725005304
956	0.3724968195
957	0.3724946198
958	0.3724887833
959	0.3724861302
960	0.3724822955
961	0.3724775261
962	0.3724748726
963	0.3724725491
964	0.3724663596
965	0.3724631471
966	0.3724612021
967	0.3724580776
968	0.3724557249
969	0.3724495525
970	0.3724473854
971	0.3724449633
972	0.3724417313
973	0.3724330586
974	0.3724308954
975	0.3724276018
976	0.3724252658
977	0.3724211394
978	0.3724187022
979	0.3724139854
980	0.3724105363
981	0.3724072137
982	0.3724032779
983	0.3723992656
984	0.3723952249
985	0.3723910181
986	0.3723885091
987	0.3723837783
988	0.3723813628
989	0.3723778125
990	0.372372677
991	0.3723705172
992	0.372368416
993	0.3723654951
994	0.3723627614
995	0.3723590634
996	0.3723547527
997	0.3723508227
998	0.3723474969
999	0.3723439194
